Date,LOCATION,PIT,Length.mm,Weight.g
2019-03-05,RRCAN,B0485,64,3.09
2019-03-05,RRCAN,B048D,57,2.18
2019-03-05,RRCAN,B049E,52,1.71
2019-03-05,RRCAN,B04BA,52,1.5
2019-03-05,RRCAN,B04BC,57,2.05
2019-03-05,RRCAN,B04C5,53,1.67
2019-03-05,RRCAN,B04CA,55,1.91
2019-03-05,RRCAN,D6E7D,54,1.67
2019-03-05,RRCAN,D6E84,55,2.06
2019-03-05,RRCAN,D6E92,56,2.23
2019-03-05,RRCAN,D6EA0,50,1.33
2019-03-05,RRCAN,D6EAC,53,1.77
2019-03-05,RRCAN,D6EBD,56,2.03
2019-03-05,RRCAN,D6ECA,54,1.62
2019-03-05,RRCAN,D6ECE,52,1.67
2019-03-05,RRSAC1,B03B3,53,1.46
2019-03-05,RRSAC1,B03C9,49,1.16
2019-03-05,RRSAC1,B03D6,51,1.46
2019-03-05,RRSAC1,B03EB,54,1.63
2019-03-05,RRSAC1,B0415,NA,NA
2019-03-05,RRSAC1,B0421,48,1.05
2019-03-05,RRSAC1,B042D,56,1.61
2019-03-05,RRSAC1,B0431,52,1.43
2019-03-05,RRSAC1,B0435,48,1.13
2019-03-05,RRSAC1,B043F,51,1.31
2019-03-05,RRSAC1,B0441,56,1.42
2019-03-05,RRSAC1,B0445,47,1.12
2019-03-05,RRSAC1,B044F,NA,NA
2019-03-05,RRSAC1,B0467,NA,NA
2019-03-05,RRSAC1,B0489,50,1.29
2019-03-05,RRSAC1,B0490,49,1.17
2019-03-05,RRSAC1,B04A4,49,1.03
2019-03-05,RRSAC1,B04AC,52,1.5
2019-03-05,RRSAC1,B04BB,53,1.46
2019-03-05,RRSAC1,B04C3,51,1.39
2019-03-05,RRSAC1,B04C9,54,1.64
2019-03-05,RRSAC1,D6E76,49,1.1
2019-03-05,RRSAC1,D6E96,57,1.95
2019-03-05,RRSAC1,D6E9A,50,1.23
2019-03-05,RRSAC1,D6EB0,55,1.89
2019-03-05,RRSAC1,D6EC5,52,1.3
2019-03-05,RRSAC2A,B03A9,50,1.52
2019-03-05,RRSAC2A,B03B1,50,1.33
2019-03-05,RRSAC2A,B03DF,53,1.7
2019-03-05,RRSAC2A,B0409,50,1.28
2019-03-05,RRSAC2A,B0413,50,1.46
2019-03-05,RRSAC2A,B0419,49,1.24
2019-03-05,RRSAC2A,B04A6,48,1.23
2019-03-05,RRSAC2A,B04AB,52,1.84
2019-03-05,RRSAC2A,D6E7F,54,1.69
2019-03-05,RRSAC2A,D6E83,56,1.77
2019-03-05,RRSAC2A,D6E8C,55,1.83
2019-03-05,RRSAC2A,D6E8E,50,1.27
2019-03-05,RRSAC2A,D6EAB,NA,NA
2019-03-05,RRSAC2A,D6EAF,49,1.32
2019-03-05,RRSAC2A,D6EB1,51,1.34
2019-03-05,RRSAC2B,B03D2,51,1.16
2019-03-05,RRSAC2B,B03D5,NA,NA
2019-03-05,RRSAC2B,B03DD,52,1.62
2019-03-05,RRSAC2B,B03F2,53,1.58
2019-03-05,RRSAC2B,B040E,51,1.4
